csv_ApplicantFirst,csv_ApplicantMiddle,csv_ApplicantLast,csv_ApplicantStreet,csv_ApplicantCity,csv_ApplicantState,csv_ApplicantStateID,csv_ApplicantZip,csv_ApplicantSSN,csv_ApplicantDOB
JEAN,B,BELL,950 CORD 1569,CULLMAN,AL,4,35055,666-16-7188,3/16/1990
LISA,,BOSLEY,1101 FERNWOOD,ORANGE,TX,54,77632,666-16-7224,3/17/1990
RICKY,W,BURELSON,2563 N MICHIGAN,SHELBYVILLE,IN,22,46176,666-16-7284,3/18/1990
JAMIE,Z,LIBERTELLI,501 PELICAN ISLAND,FLORISSANT,MO,32,63031,666-16-7319,3/19/1990
EUC,C,BEREZINSKI,1125 E 18TH,OAKLAND,CA,9,94606,666-16-7663,3/20/1990
LINDA,L,BRIGHTWELL,27 PARK AVENUE,W SPRINGFIELD,MA,26,01089,666-16-7804,3/21/1990
MICHAEL,R,MAURY,1511 CHESTNUT HILL,ASHLAND,KY,24,41101,666-16-7840,3/22/1990
CALDWELL,,DENISE,214 E CURTIS,REEDLEY,CA,9,93654,666-16-7906,3/23/1990
JANE,B,FITZGERALD,3414 OYSTER COVE,MISSOURI CITY,TX,54,77459,666-16-7937,3/24/1990
STANLEY,R,HUMPHREY,800 W PASADENA,DEER PARK,TX,54,77536,666-16-8038,3/25/1990
JOHN,,MAMONE         SR,8821 E,LITTLE ROCK,CA,9,93543,666-16-8054,3/26/1990
NEHAMIAH,,LACAR,1110 19TH S,BIRMINGHAM,AL,4,35205,666-16-8299,3/27/1990
DENISE,M,GFRRING,107 GORDON,TENAFLY,NJ,39,07670,666-16-8312,3/28/1990
JAMES,W,BROWN          JR,5475 E ROOSEVELT,CHOWCHILLA,CA,9,93610,666-16-8367,3/29/1990
E,R,CARNEY,3 RT 3 BOX 56 A,GOODVIEW,VA,56,24095,666-16-8419,3/30/1990
NANCY,M,BRADLEY,PO BOX 1724,MARTINSVILLE,IN,22,46151,666-16-8675,3/31/1990
DEBORAH,S,MERSCH,1821 WESTLAKE,PLANO,TX,54,75075,666-16-8702,4/1/1990
ADOLF,D,MARTINEZ       JR,2197 UECKER ST 336,LEWISVILLE,TX,54,75067,666-16-8841,4/2/1990
CHRISTINE,,MUSHINSKY,310 JEFFERSON,STATEN ISLAND,NY,43,10312,666-16-8918,4/3/1990
JANE,S,BRUSO,2304 WICHITA,PASADENA,TX,54,77502,666-16-8941,4/4/1990
PATRICIA,A,HOPKINS,1348 CREEKVIEW,LEWISVILLE,TX,54,75067,666-16-8967,4/5/1990
NANCY,S,BROADWELL,132 EDGEDALE,KERNERSVILLE,NC,35,27284,666-16-8968,4/6/1990
RAMON,S,DEMARK,1105 26TH S,BIRMINGHAM,AL,4,35205,666-16-9066,4/7/1990
MATTHEW,S,KIRSCH,RR4,HURON,SD,52,57350,666-16-9072,4/8/1990
DENNIS,,BARNES,629 PLACER,DIABLO,CA,9,94528,666-16-9074,4/9/1990
MARK,,BAKER,4276 GLENHAVEN,CINCINNATI,OH,44,45238,666-16-9140,4/10/1990
PAUL,,MICHAELS,60 E SOUTHPORT,GREENWOOD,IN,22,46142,666-16-9199,4/11/1990
MARGARITA,,BERCERRA,C 91 51807 DEPT 784,CINCINNATI,OH,44,45263,666-16-9251,4/12/1990
MARY,J,BECK,11800 MONTGOMERY NE,ALBUQUERQUE,NM,40,87111,666-16-9315,4/13/1990
ELAINE,M,BITTNER,8432 OAK JAY LANCE,ENGLEWOOD,FL,14,34224,666-16-9331,4/14/1990
PAUL,H,BARBOUR        JR,65 LAKESIDE,WARRENTON,MO,32,63383,666-16-9372,4/15/1990
DARRELL,,HENRY,22 ESCONDIDO,PALO ALTO,CA,9,94305,666-16-9512,4/16/1990
JAMES,E,BUTLER,211 LAMBRETH,SYRACUSE,NY,43,13210,666-16-9562,4/17/1990
CHRISTOPH,,BOYES,424 BLANCHARD,HACKENSACK,NJ,39,07601,666-16-9605,4/18/1990
SID,J,MILTZ,2 RR,KILLEN,AL,4,35645,666-16-9691,4/19/1990
BARON,,HARRELL,372 PLEASANTVIEW,NEW CUMBERLND,PA,47,17070,666-16-9801,4/20/1990
FLOR,,HOLMES,5830 WESCOTT HILLS,ALEXANDRIA,VA,56,22315,666-16-9820,4/21/1990
ETHEL,S,BALDWIN,1390 N MAIN,EULESS,TX,54,76039,666-17-0136,4/22/1990
RUBY,J,JEWER,4301 CREIGHTON,PENSACOLA,FL,14,32504,666-17-0191,4/23/1990
JOHN,C,DRISCOLL,300 GRAND,HOBOKEN,NJ,39,07030,666-17-0238,4/24/1990
JAMES,,MCGOWAN,1281 BONNIE,OROVILLE,CA,9,95965,666-17-0247,4/25/1990
BAHMAN,G,ESFAHANI,6344B BANCROFT,SAINT LOUIS,MO,32,63109,666-17-0332,4/26/1990
BARBARA,L,BARKER,PO BOX 122,WILLIAMSON,GA,16,30292,666-17-0348,4/27/1990
STEVEN,E,BRADLEY,111 AUSTIN,AUSTIN,TX,54,78759,666-17-0355,4/28/1990
KENNETH,,HARPER,20108 MANTICOKE,MANTIKOKE,MD,27,21840,666-17-0447,4/29/1990
RICHARD,,BECKMANN,1028 DANIELS,MC KINNEY,TX,54,75069,666-17-0481,4/30/1990
HECTOR,,CORIZON,613 TAYLOR,SIKESTON,MO,32,63801,666-17-0557,5/1/1990
DANA,J,DEMBNY,PO BOX 1028,MANCHESTER,CT,11,06045,666-17-0583,5/2/1990
SANDY,,BOYD,10 HAMMOND POND,CHESTNUT HILL,MA,26,02167,666-17-0662,5/3/1990
MARY,B,BROWN,919 S HAMTON,WESTFIELD,MA,26,01085,666-17-0709,5/4/1990
ALEXANDER,,KHELIWSKY,1015 N CARRIER,GRAND PRAIRIE,TX,54,75050,666-17-0716,5/5/1990
THOMAS,,HOLLOWELL,1725 N HUDSON,CHICAGO,IL,21,60614,666-17-0831,5/6/1990
BRENDA,,GALVIN,206 N POPLAR,PINE BLUFF,AR,6,71601,666-17-0872,5/7/1990
SANDRA,L,BURKE,170 CARRIAGE,ELKTON,MD,27,21921,666-17-0887,5/8/1990
CHERYL,M,BELL,95580 LAKE JAMES,FREMONT,IN,22,46737,666-17-1069,5/9/1990
SIYE,,LUO,1450 TREE TOP,WENTZVILLE,MO,32,63385,666-17-1085,5/10/1990
BARBARA,,FITTRO,206 SWANSON,GRAND FORKS,ND,36,58202,666-17-1180,5/11/1990
KAREN,,DRESSEL,600 N 1306 W,KOKOMO,IN,22,46901,666-17-1298,5/12/1990
DONALD,A,BOROL          JR,27 S PARK S,YORKVILLE,IL,21,60560,666-17-1378,5/13/1990
ETHEL,M,BALDWIN,125 E 156TH N,GRINNELL,IA,19,50112,666-17-1429,5/14/1990
LEONARD,,BEARISON,3111 GABLES,CHARLESTON,SC,51,29403,666-17-1435,5/15/1990
JUDITH,Y,BENDER,19 SQUIRE,O FALLON,MO,32,63366,666-17-1500,5/16/1990
ANNA,E,CRIDER,86 DIELMAN,SAINT LOUIS,MO,32,63124,666-17-1525,5/17/1990
DARRELL,,BENNETT        SR,387 SAINT JAMES,SPRINGFIELD,MA,26,01109,666-17-1545,5/18/1990
MICHELLE,E,LEWIS,3408 EISENHOWER,PLANO,TX,54,75023,666-17-1614,5/19/1990
GLENDA,A,BURRELL,PO BOX 682,CAMDEN,AL,4,36726,666-17-1690,5/20/1990
DONALD,L,MC MAN MAN,14 OSGOOD,GREENFIELD,MA,26,01301,666-17-1763,5/21/1990
LARRY,,CUNNINGHAM,3874 COMSTOCK,HAMTRAMCK,MI,30,48212,666-17-1783,5/22/1990
ESTHER,L,BAYS,9859D PIEDMONT,ELLSWORTH AFB,SD,52,57706,666-17-1843,5/23/1990
MARYANNE,,MOORE,2294 DUNWOODY,ATLANTA,GA,16,30338,666-17-1867,5/24/1990
BRIAN,C,BAHR,730 HORN,WASHINGTON,MO,32,63090,666-17-1909,5/25/1990
NOMA,,DAOUST,PO BOX 741092,DALLAS,TX,54,75374,666-17-1920,5/26/1990
KIM,A,BRADFORD,171 BENNETT,SYKESVILLE,MD,27,21784,666-17-2016,5/27/1990
DORIS,,BRETT,1278 S CAMDEN,LOS ANGELES,CA,9,90035,666-17-2185,5/28/1990
MARILYN,M,FIORENZA,12820 GLENBERNIE,SAINT LOUIS,MO,32,63146,666-17-2317,5/29/1990
ZELLUS,,BAILEY         SR,26 NOTTINGHAM,MONTVALE,NJ,39,07645,666-17-2471,5/30/1990
DEAN,,CARLEY,284 EAST,LENOX,MA,26,01240,666-17-2541,5/31/1990
LYNN,H,HAWKINS,212 HUNTERS POINTE,SAINT CHARLES,MO,32,63304,666-17-2572,6/1/1990
ANN,,BUTTON,10910 WEST,HOUSTON,TX,54,77064,666-17-2836,6/2/1990
JANE,,MESSENGER,633 WESTWOOD,LONG BRANCH,NJ,39,07740,666-17-3159,6/3/1990
CONNIE,L,BERKBIGLER,501 W CENTRAL TEXAS,KILLEEN,TX,54,76541,666-17-3172,6/4/1990
BRIAN,T,BURCHARD,1608 HOMEWOOD,ROCKFORD,IL,21,61108,666-17-3267,6/5/1990
MARIAN,F,BURNS,209 OAK N,STOCKBRIDGE,GA,16,30281,666-17-3306,6/6/1990
NORMAN,J,BODANI,PO BOX 11,HANNIBAL,MO,32,63401,666-17-3327,6/7/1990
GLORIA,L,BELL,666666 USA,LEXINGTON,KY,24,40511,666-17-3344,6/8/1990
DAVID,R,LANDIS,3011 VILLAGE,EDGEWOOD,KY,24,41017,666-17-3560,6/9/1990
MARCIA,M,BLACKER,111 APPOLLO,DIAMONDHEAD,AR,6,71913,666-17-3600,6/10/1990
CLANCY,J,BOYCE,960 W 37TH,LOS ANGELES,CA,9,90007,666-17-3612,6/11/1990
TONI,S,GODBE,120 UPPERS SUS,HOOKSTOWN,PA,47,15050,666-17-3760,6/12/1990
BETH,,FLICK,736 COLUMBIA,NEWPORT,KY,24,41071,666-17-3787,6/13/1990
KATHY,D,NAESETH,PO BOX 13,WARNER,SD,52,57479,666-17-3954,6/14/1990
HOSEPH,D,AYLOR,81 TOURAN,GOLETA,CA,9,93117,666-17-4092,6/15/1990
JOHN,R,MORATH         JR,3800 REGINOAL,FAIRFAX,VA,56,22033,666-17-4230,6/16/1990
JOHN,H,HIGGINSON,310 TIMBER RIDGE,WILDER,KY,24,41071,666-17-4274,6/17/1990
JO,A,DENNIS,34 MELLOR,BALTIMORE,MD,27,21228,666-17-4402,6/18/1990
MARTHA,J,FREDERICK,320 LINDA,O FALLON,MO,32,63366,666-17-4405,6/19/1990
JULIE,A,CROFF,PO BOX 428,COVINGTON,KY,24,41012,666-17-4444,6/20/1990
RICHARD,S,BARR           SR,406 DEAL LAKE,ASBURY PARK,NJ,39,07712,666-17-4636,6/21/1990
MELISSA,F,BORMUTH,314 PONIKEN,LANCASTER,MA,26,01523,666-17-4664,6/22/1990
MAXINE,,COLEMAN,8350 MADISON,FORT LEWIS,WA,59,98433,666-17-4680,6/23/1990
RUTH,M,CRAWFORD,1 COLUMBUS,NEW YORK,NY,43,10019,666-17-4689,6/24/1990
DEBORAH,,BECKER,PO BOX 393,CASSELTON,ND,36,58012,666-17-4757,6/25/1990
JENNIFER,,DEANE,14 STONE HOUSE,OAK RIDGE,NJ,39,07438,666-17-4924,6/26/1990
DUSTIN,M,BARE,42 W RUBY,PALISADES PARK,NJ,39,07650,666-17-4932,6/27/1990
JAMES,,CHILDERS,1011 JOHN,ANDERSON,IN,22,46016,666-17-5075,6/28/1990
WILLIAM,,BROWNE,276 RR1,HOOKS,TX,54,75561,666-17-5087,6/29/1990
LORI,A,GILLIGAN,244 VIRGINIA,JERSEY CITY,NJ,39,07304,666-17-5111,6/30/1990
JAMES,M,FRAZIER,3204 W NORTH,BALTIMORE,MD,27,21216,666-17-5182,7/1/1990
JAMES,S,BOGAN,3312 SALMON,SACHSE,TX,54,75048,666-17-5259,7/2/1990
RICHARD,G,CARRASCO,77 SEATTLE,FREEHOLD,NJ,39,07728,666-17-5330,7/3/1990
BOBBIE,J,KING,7001 SPRING LOT 23,COTTONDALE,AL,4,35453,666-17-5341,7/4/1990
ANN,,KROGMEIER,519 OZARK JUBILEE,NIXA,MO,32,65714,666-17-5473,7/5/1990
CARROLL,D,COLLINS,11 GROVE UPPR R,CRANFORD,NJ,39,07016,666-17-5508,7/6/1990
JO,S,DYER,4260 35TH BROWNSBORO,WINSTON SALEM,NC,35,27106,666-17-5598,7/7/1990
LUCINDER,P,JONES,895 MOHICAN LAKE,GLEN SPEY,NY,43,12737,666-17-5655,7/8/1990
CYNTHIA,E,HANAGUD,73 CEDAR,LONG BRANCH,NJ,39,07740,666-17-5786,7/9/1990
GARVIN,,GORDON,156 HAMILTON,HASBROUCK HEIGH,NJ,39,07604,666-17-5805,7/10/1990
GLENN,A,BARNARD,16214 2ND,ROSHARON,TX,54,77583,666-17-5943,7/11/1990
LYNNETTE,L,HETTRICK,216 10TH,LAUREL,MD,27,20707,666-17-6039,7/12/1990
JANICE,,LECATES,3444 HIBLUFF,DALLAS,TX,54,75234,666-17-6296,7/13/1990
MARCIA,D,JOHNSON,SFABOX 15194,NACOGDOCHES,TX,54,75962,666-17-6494,7/14/1990
HEATHER,,HERMINGHAUS,121 CARNWATH,EDISON,NJ,39,08817,666-17-6497,7/15/1990
ANTHONY,,BOLLING,1927 MARKET,DENVER,CO,10,80202,666-17-6560,7/16/1990
DONNA,L,BROWN,101425 OVERSEAS,KEY LARGO,FL,14,33037,666-17-6585,7/17/1990
JERRY,W,BURLEWGAME,3964 ROCHELLE,DALLAS,TX,54,75220,666-17-6590,7/18/1990
MARGARET,E,GOETZ,403 15TH S,FARGO,ND,36,58103,666-17-6634,7/19/1990
BANKS,,CAROLYN,3527 W NORTHGATE,IRVING,TX,54,75062,666-17-6642,7/20/1990
BENJAMIN,A,LARRABEE,16 TIPPING ROCK,E GREENWICH,RI,50,02818,666-17-6748,7/21/1990
ROBERT,,BAUMAN,2704 COLONIAL,MC KINNEY,TX,54,75070,666-17-6768,7/22/1990
DAVID,J,BOWEN          SR,254 MOUNT PROSPECT,NEWARK,NJ,39,07104,666-17-6803,7/23/1990
MARINA,T,BOLUSAN,6404 W AIRPORT,HOUSTON,TX,54,77035,666-17-6809,7/24/1990
CAROLYN,,GAUKEL,2221 S VOSS,HOUSTON,TX,54,77057,666-17-6821,7/25/1990
ANN,,BUTTON,BEQ 532 RM 321,GREAT LAKES,IL,21,60088,666-17-6963,7/26/1990
LOVELESS,,BABIES         JR,3427 THISTLE DHU NE,ROCKFORD,MI,30,49341,666-17-7105,7/27/1990
APRIL,S,BURTON,463 SHORE ACRES,ARNOLD,MD,27,21012,666-17-7143,7/28/1990
G,W,BLACKBURN      JR,707 S 22ND,GRAND FORKS,ND,36,58201,666-17-7178,7/29/1990
SHARRELLE,,BROWN,12 DORRANCE,WORCESTER,MA,26,01610,666-17-7242,7/30/1990
JO,,LOVE,64 SHERMAN,JERSEY CITY,NJ,39,07307,666-17-7322,7/31/1990
DAVID,P,HOOFNAGLE,8418 240TH SW,EDMONDS,WA,59,98026,666-17-7332,8/1/1990
KIMBERLY,J,GREEN,RR1,HOUSTON,MN,31,55943,666-17-7474,8/2/1990
MARGARET,E,GOETZ,907 S WESLEY,OAK PARK,IL,21,60304,666-17-7557,8/3/1990
TERRY,L,BRIDGES,3503 W NORTHGATE,IRVING,TX,54,75062,666-17-7614,8/4/1990
MARK,A,BARTON,1777 E LYNWOOD,SAN BERNARDINO,CA,9,92404,666-17-7662,8/5/1990
POLINA,,BACKMAN,431 LORISH,PITTSBURGH,PA,47,15205,666-17-7738,8/6/1990
CHRIS,A,BAILEY,9 E GREENWAY STE 1717,HOUSTON,TX,54,77046,666-17-8188,8/7/1990
BRADELY,J,BRUNS,908 E 12TH,TRENTON,MO,32,64683,666-17-8210,8/8/1990
JEANEAN,,BEACHY,4 STOCKMILL,BALTIMORE,MD,27,21208,666-17-8243,8/9/1990
TRACI,L,KUEHL,3399 COUNTY ROAD,CARBONDALE,IL,21,62901,666-17-8263,8/10/1990
HAROLD,C,LUDWIG,P O BOX 833858,RICHARDSON,TX,54,75083,666-17-8414,8/11/1990
PAULA,A,BROWN,PO BOX 3171,MUNHALL,PA,47,15120,666-17-8483,8/12/1990
JANE,M,BOCK,6461 CONNING TOWER,NAPLES,FL,14,34112,666-17-8487,8/13/1990
CARMEN,,LAROSA,1055 JERSEY RIDGE,MAYSVILLE,KY,24,41056,666-17-8494,8/14/1990
CRIS,R,GARCIA,8169 KAVANAGH,BALTIMORE,MD,27,21222,666-17-8498,8/15/1990
RANDY,D,BADGETT,354 RR1,WATERLOO,AL,4,35677,666-17-8529,8/16/1990
LYNNDEE,M,BROWN,233 WAYNE,CLIFFSIDE PARK,NJ,39,07010,666-17-8622,8/17/1990
VELINDA,J,LONG,82 WOODLAND,SULLIVAN,MO,32,63080,666-17-8729,8/18/1990
PATRICIA,,BRUNNER,401 HOLLYWOOD,HAYSVILLE,KS,23,67060,666-17-8752,8/19/1990
DENISE,,BOLT,11 KENNEDY MEADO,INYOKERN,CA,9,93527,666-17-8864,8/20/1990
ZAPATA,A,EVANS,4801 S WADSWORTH,LITTLETON,CO,10,80123,666-17-8943,8/21/1990
MITRA,,BROWN,3835 WINDING LAKE,ORLANDO,FL,14,32825,666-17-8985,8/22/1990
DOROTHY,J,BONNER,110 S MACKINAC,MANISTIQUE,MI,30,49854,666-17-8993,8/23/1990
CARMEN,,MARTINEZ,40640 HYDE ST 606,FREMONT,CA,9,94538,666-17-9230,8/24/1990
DELWYN,,KRUSE,865 DENT,GARLAND,TX,54,75040,666-17-9230,8/25/1990
W,M,HELEN,700 CUSTER,RICHARDSON,TX,54,75080,666-17-9256,8/26/1990
SHERYL,A,JEANISE,367 SPRINGFIELD,SUMMIT,NJ,39,07901,666-17-9337,8/27/1990
CHARLOTTE,D,LAHRMAN,HC80,HELTON,KY,24,40840,666-17-9434,8/28/1990
JOHN,P,BRADSHAW,505 N MONROE,PACIFIC,MO,32,63069,666-17-9459,8/29/1990
ROBERT,E,BLACKERT,105 W BLUE RIDGE UNIT C3,BLACK MOUNTAIN,NC,35,28711,666-17-9534,8/30/1990
CORNELIAS,,KELLETT,1847 BUCK CREEK,WILLIAMSBURG,KY,24,40769,666-17-9610,8/31/1990
JACQUELIN,,BELLUOMINI,1006 BELEW,IRVING,TX,54,75061,666-17-9620,9/1/1990
MAHMOUD,I,EL SHABOURY,2128 COLORADO,LOS ANGELES,CA,9,90041,666-17-9623,9/2/1990
RENEE,M,DABROWSKI,27 THEROUX,CHICOPEE,MA,26,01020,666-17-9634,9/3/1990
KATHLEEN,A,BARRY,106 PINERIDGE,OAKDALE,PA,47,15071,666-17-9690,9/4/1990
CRYSTAL,L,HALL,6720 ALCOVE,PLANO,TX,54,75024,666-17-9699,9/5/1990
KAREN,D,AUBIN,29 H STALE,LEOMINSTER,MA,26,01453,666-17-9758,9/6/1990
CHARLES,P,JOHNSON,2880 LOCUST,DENVER,CO,10,80207,666-17-9823,9/7/1990
CORETTA,,BRADLEY,313 MAIN,DAYTON,NJ,39,08810,666-17-9982,9/8/1990
RONNIE,C,BALSAMO,590 SS CO,FORT ORD,CA,9,93941,666-18-0139,9/9/1990
JOY,,KIRBY,2311 ANDREWS,BRONX,NY,43,10468,666-18-0351,9/10/1990
JULIO,A,DE,404 GAIL,THOMASVILLE,NC,35,27360,666-18-0354,9/11/1990
NAZIRAN,,HOSEIN,5207 FRONT RIVER,PITTSBURGH,PA,47,15225,666-18-0384,9/12/1990
LISA,K,DELACOURT,1261 KENNECOTT,LEXINGTON,KY,24,40514,666-18-0406,9/13/1990
